cases,developers,a_language_code,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
1,1,0,0,1,0,0,0,0,1,1,0,0,1
1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,1,0,1,1,1,0,1,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,1,1,1
1,1,0,0,0,0,0,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0,0,0,1,0,1
1,1,0,0,1,1,0,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,0,1,1,1,0
1,1,0,1,1,0,0,0,0,1,1,0,0,1
1,1,0,0,0,0,0,0,0,1,1,0,1,1
1,1,0,1,0,1,0,0,0,0,0,1,1,1
1,1,0,0,1,0,0,0,0,1,0,0,0,1
1,1,0,1,1,1,0,0,0,1,1,0,0,0
1,1,0,1,0,0,0,0,0,1,1,0,0,1
1,1,0,0,1,0,0,0,0,0,0,0,1,0
1,1,0,0,0,1,0,1,0,0,1,0,0,0
1,1,0,1,1,1,0,0,0,0,0,0,1,0
1,1,0,0,1,1,0,1,0,0,0,0,1,1
1,1,0,1,0,1,0,0,0,1,1,1,0,1
1,1,0,1,0,1,0,0,0,1,0,1,0,0
1,1,0,1,0,0,0,0,0,0,1,1,1,0
1,1,0,0,1,0,0,0,0,1,1,1,1,0
1,1,0,0,1,1,0,0,0,1,0,1,1,1
1,1,0,1,0,1,0,1,0,0,1,1,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,0,1,0,1,1,1,1,0
1,1,0,0,0,1,0,1,0,0,0,1,0,1
1,1,0,1,1,0,0,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0,1,0,1,1,1
1,1,0,1,0,1,0,0,0,0,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,1,0,0,0,0,1,0,1,0,1
1,1,0,0,1,1,0,1,0,1,1,0,0,0
1,1,0,1,1,1,1,0,1,0,1,1,0,1
1,1,0,0,0,1,0,0,0,1,0,1,0,1
1,1,0,1,0,0,0,0,0,1,1,0,1,0
1,1,0,1,1,1,0,0,0,0,1,0,0,0
1,1,0,1,1,1,1,0,1,1,1,1,1,0
1,1,0,1,0,0,0,0,0,1,1,1,1,0
1,1,0,1,1,1,0,0,0,0,1,0,1,1
1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,1,1,1,0
1,1,0,0,1,1,0,0,0,0,1,0,0,1
1,1,0,0,0,1,0,0,0,1,1,0,1,1
1,1,0,1,0,1,0,0,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,1,1,1,1,0
1,1,0,1,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,1,0,0,0,1,1,1,1,1
1,1,0,1,0,1,0,0,0,1,1,0,0,0
1,1,0,1,1,0,0,0,0,1,1,1,1,1
1,1,0,1,0,1,0,1,0,0,1,1,1,1
1,1,0,1,0,1,0,1,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,1
1,1,0,1,1,0,0,0,0,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,1,1,0,1,0,1,1,1,1,0,1
1,1,0,1,0,1,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,1,0,1,0,1
1,1,0,1,1,1,0,0,0,0,1,0,0,1
1,1,0,1,1,1,1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,1,1,0,1,1,0,1
1,1,0,0,1,0,0,0,0,0,1,1,0,1
1,1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,1,1,1,0,1
1,1,0,0,0,1,0,0,0,0,0,0,1,1
1,1,0,0,1,1,0,1,0,0,1,0,0,0
1,1,0,0,1,1,0,1,0,1,0,1,1,1
1,1,0,0,0,1,0,0,0,1,0,1,1,1
1,1,0,1,0,1,0,1,0,1,1,0,0,0
1,1,0,1,0,1,0,0,0,1,0,0,0,0
1,1,0,1,1,1,0,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0,1,0,1,1,0
1,1,0,1,1,1,0,1,0,1,1,1,1,1
1,1,0,1,0,1,0,0,0,1,0,0,1,1
1,1,0,1,1,1,1,0,1,0,1,1,1,0
1,1,0,1,0,1,0,0,0,1,1,0,1,1
1,1,0,1,0,1,0,0,0,0,0,0,1,0
1,1,0,0,0,1,0,1,0,0,1,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0,1,0
1,1,0,1,1,1,0,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,1,1,1,1
1,1,0,1,0,0,0,0,0,1,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,1,1,0
1,1,0,1,1,1,0,0,0,0,0,0,1,1
1,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,0,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,1,1,1,1,0
1,1,0,0,0,1,0,1,0,0,1,0,1,0
1,1,0,0,0,0,0,0,0,1,1,0,0,0
1,1,0,1,0,1,0,1,0,1,1,1,1,0
1,1,0,0,0,1,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,1,1,1,0,1,0,1,0,0,0,0
1,1,0,1,1,0,0,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,1,1,0,0,0,0,0,1,1,1,1
1,1,0,1,1,1,0,1,0,1,1,0,0,0
1,1,0,1,1,0,0,0,0,0,0,1,0,1
1,1,0,1,1,1,0,1,0,0,0,0,0,0
1,1,0,1,1,1,0,1,0,0,1,1,0,0
1,1,0,0,0,1,0,1,0,1,0,1,0,1
2,2,0,1,0,0,0,0,0,0,1,1,0,1
2,2,0,0,1,0,0,0,0,1,0,0,0,0
2,2,0,0,1,0,0,0,0,0,1,0,1,0
2,2,0,0,1,0,0,0,0,0,1,0,0,0
2,2,0,0,0,1,0,1,0,1,1,1,1,1
2,2,0,0,0,1,0,0,0,0,1,1,0,0
2,2,0,0,1,1,0,0,0,1,1,1,0,1
2,2,0,0,1,1,0,0,0,0,1,0,1,1
2,2,0,1,1,1,0,0,0,1,1,0,0,1
2,2,0,0,1,1,0,0,0,0,0,1,1,1
2,2,0,1,0,0,0,0,0,1,1,1,0,0
2,2,0,1,1,0,0,0,0,1,1,0,0,0
2,2,0,1,1,1,0,0,0,1,1,1,1,1
2,2,0,1,1,1,0,0,0,0,0,1,1,1
2,2,0,1,1,0,0,0,0,0,1,1,1,0
2,2,0,0,0,1,0,0,0,0,0,0,1,0
2,2,0,1,0,0,0,0,0,1,1,1,0,1
2,2,0,1,1,0,0,0,0,1,0,0,0,0
2,2,0,0,1,1,0,1,0,0,1,1,0,0
2,2,0,0,0,1,0,0,0,0,1,1,0,1
2,2,0,0,0,0,0,0,0,0,0,0,0,1
2,2,0,1,0,0,0,0,0,1,1,1,1,1
2,2,0,1,1,0,0,0,0,1,0,0,1,0
2,2,0,0,1,0,0,0,0,1,0,1,0,0
